id	category	sub_category	brand_name	furniture_korean_name	furniture_english_name	color_korean_name	color_english_name	price	thumbnail_image_url	main_image_url	detail_image_url	is_new
1	chair	바 체어	&Tradition	리볼버 바스툴 H65	Revolver Bar Stool H65	블랙	black	120000	https://oka7759.github.io/2sa_images/s001.png	https://oka7759.github.io/2sa_images/001.jpg	https://oka7759.github.io/2sa_images/001.jpg	True
2	chair	바 체어	&Tradition	리볼버 바스툴 H65	Revolver Bar Stool H65	화이트	white	120000	https://oka7759.github.io/2sa_images/s001.png	https://oka7759.github.io/2sa_images/001.jpg	https://oka7759.github.io/2sa_images/001.jpg	False
3	chair	바 체어	&Tradition	리볼버 바스툴 H65	Revolver Bar Stool H65	레드	red	150000	https://oka7759.github.io/2sa_images/s001.png	https://oka7759.github.io/2sa_images/001.jpg	https://oka7759.github.io/2sa_images/001.jpg	False
4	chair	바 체어	ARCHITECTMADE	팔리사드 바스툴 	Palissade bar stool	베이지	beige	55000	https://oka7759.github.io/2sa_images/s005.png	https://oka7759.github.io/2sa_images/005.jpg	https://oka7759.github.io/2sa_images/005.jpg	False
5	chair	라운지 체어	artek 	비트라 그랜드 레포스	Grand Repos	옐로우	yellow	59000	https://oka7759.github.io/2sa_images/s006.png	https://oka7759.github.io/2sa_images/006.jpg	https://oka7759.github.io/2sa_images/006.jpg	False
6	chair	라운지 체어	artek 	비트라 그랜드 레포스	Grand Repos	오크	oak	59000	https://oka7759.github.io/2sa_images/s006.png	https://oka7759.github.io/2sa_images/006.jpg	https://oka7759.github.io/2sa_images/006.jpg	False
7	chair	라운지 체어	artek 	비트라 그랜드 레포스	Grand Repos	그레이	gray	59000	https://oka7759.github.io/2sa_images/s006.png	https://oka7759.github.io/2sa_images/006.jpg	https://oka7759.github.io/2sa_images/006.jpg	True
8	chair	라운지 체어	&Tradition	팔리사드 쉐이즈 롱	Palissade Chaise	우드	wood	82000	https://oka7759.github.io/2sa_images/s004.png	https://oka7759.github.io/2sa_images/004.jpg	https://oka7759.github.io/2sa_images/004.jpg	False
9	chair	라운지 체어	&Tradition	팔리사드 쉐이즈 롱	Palissade Chaise	올리브	olive	82000	https://oka7759.github.io/2sa_images/s004.png	https://oka7759.github.io/2sa_images/004.jpg	https://oka7759.github.io/2sa_images/004.jpg	False
10	chair	라운지 체어	&Tradition	팔리사드 쉐이즈 롱	Palissade Chaise	화이트	white	82000	https://oka7759.github.io/2sa_images/s004.png	https://oka7759.github.io/2sa_images/004.jpg	https://oka7759.github.io/2sa_images/004.jpg	False
